"numeroEvento","fechaInicio","fechaFin","duracionMinutos","codigoEstacionMayorAcumulado","valorMayorAcumulado","codigoEstacionMayorIntensidad","valorMayorIntensidad"
177,2013-02-13 17:05:00.000,2013-02-13 20:10:00.000,185.000000000000000,50,16.300000000000000,22,84.000000000000000
178,2013-02-14 00:50:00.000,2013-02-14 03:10:00.000,140.000000000000000,65,13.500000000000000,65,60.000000000000000
179,2013-02-14 23:10:00.000,2013-02-15 00:40:00.000,90.000000000000000,3,10.700000000000000,3,45.600000000000000
180,2013-02-16 23:00:00.000,2013-02-17 00:30:00.000,90.000000000000000,47,10.400000000000000,47,66.000000000000000
181,2013-02-17 01:40:00.000,2013-02-17 03:45:00.000,125.000000000000000,65,12.400000000000000,65,72.000000000000000
182,2013-02-22 00:15:00.000,2013-02-22 07:00:00.000,405.000000000000000,47,18.500000000000000,32,60.000000000000000
183,2013-02-24 00:00:00.000,2013-02-24 02:15:00.000,135.000000000000000,3,20.300000000000000,1,67.200000000000000
184,2013-02-24 03:50:00.000,2013-02-24 06:15:00.000,145.000000000000000,36,12.700000000000000,36,61.200000000000000
185,2013-02-24 06:15:00.000,2013-02-24 08:40:00.000,145.000000000000000,64,18.300000000000000,36,96.000000000000000
186,2013-02-28 19:30:00.000,2013-02-28 21:55:00.000,145.000000000000000,47,8.400000000000000,47,72.000000000000000
187,2013-02-28 23:45:00.000,2013-03-01 05:00:00.000,315.000000000000000,66,30.500000000000000,66,66.000000000000000
188,2013-03-03 21:30:00.000,2013-03-03 23:50:00.000,140.000000000000000,72,11.700000000000000,72,45.600000000000000
189,2013-03-04 05:40:00.000,2013-03-04 07:20:00.000,100.000000000000000,5,8.600000000000000,5,39.600000000000000
190,2013-03-09 15:00:00.000,2013-03-09 17:30:00.000,150.000000000000000,43,23.100000000000000,43,110.000000000000000
191,2013-03-11 12:20:00.000,2013-03-11 13:50:00.000,90.000000000000000,58,14.700000000000000,57,43.200000000000000
192,2013-02-11 23:00:00.000,2013-02-12 00:40:00.000,100.000000000000000,37,19.800000000000000,37,72.000000000000000
193,2013-03-13 15:30:00.000,2013-03-13 16:30:00.000,60.000000000000000,53,27.200000000000000,53,114.000000000000000
194,2013-03-14 04:30:00.000,2013-03-14 05:10:00.000,40.000000000000000,43,7.400000000000000,43,39.600000000000000
195,2013-03-14 13:30:00.000,2013-03-14 18:00:00.000,270.000000000000000,5,34.500000000000000,26,96.000000000000000
196,2013-03-17 17:20:00.000,2013-03-17 21:00:00.000,220.000000000000000,64,70.100000000000000,64,120.000000000000000
197,2013-03-18 16:00:00.000,2013-03-18 18:30:00.000,150.000000000000000,20,50.000000000000000,20,134.400000000000000
198,2013-03-20 15:40:00.000,2013-03-20 17:40:00.000,120.000000000000000,50,36.300000000000000,34,117.000000000000000
199,2013-03-20 17:40:00.000,2013-03-20 19:30:00.000,110.000000000000000,39,17.500000000000000,16,90.000000000000000
200,2013-03-21 02:00:00.000,2013-03-21 06:40:00.000,280.000000000000000,25,40.600000000000000,57,76.800000000000000
201,2013-03-21 07:50:00.000,2013-03-21 11:40:00.000,230.000000000000000,16,36.800000000000000,18,43.200000000000000
202,2013-03-21 17:30:00.000,2013-03-21 21:20:00.000,230.000000000000000,60,27.400000000000000,45,60.000000000000000
203,2013-03-22 01:30:00.000,2013-03-22 04:10:00.000,160.000000000000000,71,17.500000000000000,71,60.000000000000000
204,2013-03-22 14:30:00.000,2013-03-22 16:00:00.000,90.000000000000000,22,18.500000000000000,22,90.000000000000000
205,2013-03-24 19:00:00.000,2013-03-24 20:20:00.000,80.000000000000000,42,27.900000000000000,42,106.800000000000000
206,2013-02-24 22:30:00.000,2013-02-24 23:50:00.000,80.000000000000000,5,11.700000000000000,5,51.600000000000000
207,2013-03-25 15:40:00.000,2013-03-25 16:40:00.000,60.000000000000000,43,13.700000000000000,43,48.000000000000000
208,2013-03-28 16:40:00.000,2013-03-28 17:45:00.000,65.000000000000000,36,15.700000000000000,36,69.600000000000000
209,2013-04-03 06:30:00.000,2013-04-03 07:40:00.000,70.000000000000000,61,8.400000000000000,33,48.000000000000000
210,2013-04-05 16:00:00.000,2013-04-05 17:30:00.000,90.000000000000000,24,9.100000000000000,12,51.600000000000000
211,2013-04-09 16:30:00.000,2013-04-09 18:00:00.000,90.000000000000000,61,15.500000000000000,61,60.000000000000000
212,2013-04-10 11:50:00.000,2013-04-10 14:55:00.000,185.000000000000000,57,17.300000000000000,57,90.000000000000000
213,2013-04-11 00:10:00.000,2013-04-11 01:00:00.000,50.000000000000000,34,14.500000000000000,61,60.000000000000000
214,2013-04-11 03:30:00.000,2013-04-11 06:00:00.000,150.000000000000000,48,23.900000000000000,20,94.000000000000000
215,2013-04-11 14:50:00.000,2013-04-11 17:50:00.000,180.000000000000000,36,34.300000000000000,49,100.800000000000000
216,2013-04-13 14:40:00.000,2013-04-13 15:55:00.000,75.000000000000000,58,31.500000000000000,57,106.800000000000000
217,2013-04-14 13:00:00.000,2013-04-14 14:10:00.000,70.000000000000000,33,34.500000000000000,33,107.000000000000000
218,2013-04-17 12:30:00.000,2013-04-17 15:00:00.000,150.000000000000000,57,48.500000000000000,57,120.000000000000000
219,2013-04-17 20:20:00.000,2013-04-17 23:20:00.000,180.000000000000000,72,35.800000000000000,72,100.000000000000000
220,2013-04-17 23:30:00.000,2013-04-18 06:00:00.000,390.000000000000000,36,24.100000000000000,36,90.000000000000000
221,2013-04-18 14:30:00.000,2013-04-18 18:10:00.000,220.000000000000000,3,19.300000000000000,12,73.200000000000000
222,2013-04-19 16:00:00.000,2013-04-19 21:20:00.000,320.000000000000000,62,32.300000000000000,62,132.000000000000000
223,2013-04-20 13:20:00.000,2013-04-20 18:20:00.000,300.000000000000000,15,24.000000000000000,210,60.000000000000000
